name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_temperature,correct_temperature_label,correct_answer
Rachel,2019-06-07,Bob,2019-08-23,George,2019-03-10,"['Rachel', 'Bob', 'George']",Rachel got a manicure on the 7th of June. Bob got a manicure on the 23rd of August. George got a manicure on the 10th of March. The only person that got a manicure in a cold month is,2019-03-10,cold,0,George
Frank,2019-09-24,Luke,2019-01-12,Joy,2019-03-15,"['Frank', 'Luke', 'Joy']",Frank cleaned the basement on the 24th of September. Luke cleaned the basement on the 12th of January. Joy cleaned the basement on the 15th of March. The only person that cleaned the basement in a warm month is,2019-09-24,warm,1,Frank
Peter,2019-09-22,Bob,2019-11-13,John,2019-02-28,"['Peter', 'Bob', 'John']",Peter washed the car on the 22nd of September. Bob washed the car on the 13th of November. John washed the car on the 28th of February. The only person that washed the car in a warm month is,2019-09-22,warm,1,Peter
Alex,2019-05-23,Grant,2019-02-26,Emily,2019-09-17,"['Alex', 'Grant', 'Emily']",Alex went to the gym on the 23rd of May. Grant went to the gym on the 26th of February. Emily went to the gym on the 17th of September. The only person that went to the gym in a cold month is,2019-02-26,cold,0,Grant
Blake,2019-05-26,Kevin,2019-08-21,Martin,2019-03-21,"['Blake', 'Kevin', 'Martin']",Blake sent a postcard on the 26th of May. Kevin sent a postcard on the 21st of August. Martin sent a postcard on the 21st of March. The only person that sent a postcard in a cold month is,2019-03-21,cold,0,Martin
Jerry,2019-09-30,Andrew,2019-03-16,Rachel,2019-04-24,"['Jerry', 'Andrew', 'Rachel']",Jerry took a bus on the 30th of September. Andrew took a bus on the 16th of March. Rachel took a bus on the 24th of April. The only person that took a bus in a warm month is,2019-09-30,warm,1,Jerry
Grant,2019-08-18,Connor,2019-03-27,Frank,2019-02-20,"['Grant', 'Connor', 'Frank']",Grant cleaned the garage on the 18th of August. Connor cleaned the garage on the 27th of March. Frank cleaned the garage on the 20th of February. The only person that cleaned the garage in a warm month is,2019-08-18,warm,1,Grant
Michael,2019-05-18,Fred,2019-02-26,Scott,2019-07-30,"['Michael', 'Fred', 'Scott']",Michael arrived in Canada on the 18th of May. Fred arrived in Canada on the 26th of February. Scott arrived in Canada on the 30th of July. The only person that arrived in Canada in a cold month is,2019-02-26,cold,0,Fred
Fred,2019-09-16,Hope,2019-04-13,William,2019-02-15,"['Fred', 'Hope', 'William']",Fred watered the plants on the 16th of September. Hope watered the plants on the 13th of April. William watered the plants on the 15th of February. The only person that watered the plants in a warm month is,2019-09-16,warm,1,Fred
Jerry,2019-06-03,Kevin,2019-11-06,Luke,2019-08-03,"['Jerry', 'Kevin', 'Luke']",Jerry attended a wedding on the 3rd of June. Kevin attended a wedding on the 6th of November. Luke attended a wedding on the 3rd of August. The only person that attended a wedding in a cold month is,2019-11-06,cold,0,Kevin
Robert,2019-01-05,Ian,2019-12-20,Mark,2019-07-10,"['Robert', 'Ian', 'Mark']",Robert had a picnic on the 5th of January. Ian had a picnic on the 20th of December. Mark had a picnic on the 10th of July. The only person that had a picnic in a warm month is,2019-07-10,warm,1,Mark
Leon,2019-02-24,Jerry,2019-09-30,Grant,2019-11-07,"['Leon', 'Jerry', 'Grant']",Leon took a ferry on the 24th of February. Jerry took a ferry on the 30th of September. Grant took a ferry on the 7th of November. The only person that took a ferry in a warm month is,2019-09-30,warm,1,Jerry
Peter,2019-05-12,Scott,2019-12-20,Leon,2019-09-23,"['Peter', 'Scott', 'Leon']",Peter watered the plants on the 12th of May. Scott watered the plants on the 20th of December. Leon watered the plants on the 23rd of September. The only person that watered the plants in a cold month is,2019-12-20,cold,0,Scott
Josh,2019-09-11,Marco,2019-04-24,Brandon,2019-07-21,"['Josh', 'Marco', 'Brandon']",Josh watched a documentary on the 11th of September. Marco watched a documentary on the 24th of April. Brandon watched a documentary on the 21st of July. The only person that watched a documentary in a cold month is,2019-04-24,cold,0,Marco
Brandon,2019-01-26,Matt,2019-12-30,George,2019-08-15,"['Brandon', 'Matt', 'George']",Brandon visited their family on the 26th of January. Matt visited their family on the 30th of December. George visited their family on the 15th of August. The only person that visited their family in a warm month is,2019-08-15,warm,1,George
Aaron,2019-06-01,Jack,2019-11-15,Connor,2019-02-06,"['Aaron', 'Jack', 'Connor']",Aaron filled out the application on the 1st of June. Jack filled out the application on the 15th of November. Connor filled out the application on the 6th of February. The only person that filled out the application in a warm month is,2019-06-01,warm,1,Aaron
Bob,2019-05-13,Fred,2019-08-06,Andrew,2019-03-12,"['Bob', 'Fred', 'Andrew']",Bob went to a Mexican restaurant on the 13th of May. Fred went to a Mexican restaurant on the 6th of August. Andrew went to a Mexican restaurant on the 12th of March. The only person that went to a Mexican restaurant in a cold month is,2019-03-12,cold,0,Andrew
Connor,2019-10-22,Martin,2019-06-04,Grant,2019-04-05,"['Connor', 'Martin', 'Grant']",Connor cleaned the attic on the 22nd of October. Martin cleaned the attic on the 4th of June. Grant cleaned the attic on the 5th of April. The only person that cleaned the attic in a cold month is,2019-04-05,cold,0,Grant
Walker,2019-03-04,Dallas,2019-12-04,Maria,2019-08-18,"['Walker', 'Dallas', 'Maria']",Walker called a friend on the 4th of March. Dallas called a friend on the 4th of December. Maria called a friend on the 18th of August. The only person that called a friend in a warm month is,2019-08-18,warm,1,Maria
Alex,2019-05-17,Matt,2019-03-18,Bob,2019-05-13,"['Alex', 'Matt', 'Bob']",Alex went to the cinema on the 17th of May. Matt went to the cinema on the 18th of March. Bob went to the cinema on the 13th of May. The only person that went to the cinema in a cold month is,2019-03-18,cold,0,Matt
Michael,2019-01-31,Richard,2019-04-12,Dean,2019-06-18,"['Michael', 'Richard', 'Dean']",Michael cleaned the shed on the 31st of January. Richard cleaned the shed on the 12th of April. Dean cleaned the shed on the 18th of June. The only person that cleaned the shed in a warm month is,2019-06-18,warm,1,Dean
Laura,2019-08-10,Connor,2019-02-28,Maria,2019-09-03,"['Laura', 'Connor', 'Maria']",Laura donated clothes on the 10th of August. Connor donated clothes on the 28th of February. Maria donated clothes on the 3rd of September. The only person that donated clothes in a cold month is,2019-02-28,cold,0,Connor
Scott,2019-10-15,Marco,2019-04-16,Ryan,2019-02-03,"['Scott', 'Marco', 'Ryan']",Scott returned from vacation on the 15th of October. Marco returned from vacation on the 16th of April. Ryan returned from vacation on the 3rd of February. The only person that returned from vacation in a warm month is,2019-10-15,warm,1,Scott
Emily,2019-12-23,Fred,2019-07-07,Matt,2019-06-16,"['Emily', 'Fred', 'Matt']",Emily repaired the bike on the 23rd of December. Fred repaired the bike on the 7th of July. Matt repaired the bike on the 16th of June. The only person that repaired the bike in a cold month is,2019-12-23,cold,0,Emily
Grant,2019-01-31,Steve,2019-12-30,William,2019-07-09,"['Grant', 'Steve', 'William']",Grant took an exam on the 31st of January. Steve took an exam on the 30th of December. William took an exam on the 9th of July. The only person that took an exam in a warm month is,2019-07-09,warm,1,William
Grant,2019-02-26,Rachel,2019-09-06,Jason,2019-11-14,"['Grant', 'Rachel', 'Jason']",Grant alphabetized the bookshelf on the 26th of February. Rachel alphabetized the bookshelf on the 6th of September. Jason alphabetized the bookshelf on the 14th of November. The only person that alphabetized the bookshelf in a warm month is,2019-09-06,warm,1,Rachel
Matt,2019-03-21,Tyler,2019-08-30,Peter,2019-12-27,"['Matt', 'Tyler', 'Peter']",Matt bought a new car on the 21st of March. Tyler bought a new car on the 30th of August. Peter bought a new car on the 27th of December. The only person that bought a new car in a warm month is,2019-08-30,warm,1,Tyler
Bob,2019-03-08,Luke,2019-07-28,Ian,2019-04-09,"['Bob', 'Luke', 'Ian']",Bob cleaned the windows on the 8th of March. Luke cleaned the windows on the 28th of July. Ian cleaned the windows on the 9th of April. The only person that cleaned the windows in a warm month is,2019-07-28,warm,1,Luke
Hunter,2019-02-12,Marco,2019-09-30,Michael,2019-09-27,"['Hunter', 'Marco', 'Michael']",Hunter attended a funeral on the 12th of February. Marco attended a funeral on the 30th of September. Michael attended a funeral on the 27th of September. The only person that attended a funeral in a cold month is,2019-02-12,cold,0,Hunter
Charlie,2019-03-19,Alex,2019-03-17,Fred,2019-07-01,"['Charlie', 'Alex', 'Fred']",Charlie watched a documentary on the 19th of March. Alex watched a documentary on the 17th of March. Fred watched a documentary on the 1st of July. The only person that watched a documentary in a warm month is,2019-07-01,warm,1,Fred
Mark,2019-09-21,Fred,2019-02-26,Kevin,2019-10-16,"['Mark', 'Fred', 'Kevin']",Mark went hiking on the 21st of September. Fred went hiking on the 26th of February. Kevin went hiking on the 16th of October. The only person that went hiking in a cold month is,2019-02-26,cold,0,Fred
Walker,2019-03-04,Joy,2019-03-12,Martin,2019-06-04,"['Walker', 'Joy', 'Martin']",Walker took a boat on the 4th of March. Joy took a boat on the 12th of March. Martin took a boat on the 4th of June. The only person that took a boat in a warm month is,2019-06-04,warm,1,Martin
Bob,2019-01-22,Robert,2019-08-17,Richard,2019-12-10,"['Bob', 'Robert', 'Richard']",Bob repotted the plants on the 22nd of January. Robert repotted the plants on the 17th of August. Richard repotted the plants on the 10th of December. The only person that repotted the plants in a warm month is,2019-08-17,warm,1,Robert
Hunter,2019-08-04,April,2019-11-05,Ryan,2019-10-17,"['Hunter', 'April', 'Ryan']",Hunter bought a new phone on the 4th of August. April bought a new phone on the 5th of November. Ryan bought a new phone on the 17th of October. The only person that bought a new phone in a cold month is,2019-11-05,cold,0,April
Maria,2019-06-27,Ryan,2019-04-04,Frank,2019-12-14,"['Maria', 'Ryan', 'Frank']",Maria threw a party on the 27th of June. Ryan threw a party on the 4th of April. Frank threw a party on the 14th of December. The only person that threw a party in a warm month is,2019-06-27,warm,1,Maria
Scott,2019-05-02,Hope,2019-10-09,Kyle,2019-04-17,"['Scott', 'Hope', 'Kyle']",Scott got a birthday gift on the 2nd of May. Hope got a birthday gift on the 9th of October. Kyle got a birthday gift on the 17th of April. The only person that got a birthday gift in a cold month is,2019-04-17,cold,0,Kyle
Steve,2019-04-16,William,2019-09-02,Frank,2019-02-20,"['Steve', 'William', 'Frank']",Steve got surgery on the 16th of April. William got surgery on the 2nd of September. Frank got surgery on the 20th of February. The only person that got surgery in a warm month is,2019-09-02,warm,1,William
Laura,2019-07-25,Richard,2019-04-29,Rachel,2019-04-21,"['Laura', 'Richard', 'Rachel']",Laura got a manicure on the 25th of July. Richard got a manicure on the 29th of April. Rachel got a manicure on the 21st of April. The only person that got a manicure in a warm month is,2019-07-25,warm,1,Laura
Rachel,2019-08-01,Grant,2019-05-16,Robert,2019-04-07,"['Rachel', 'Grant', 'Robert']",Rachel washed the dog on the 1st of August. Grant washed the dog on the 16th of May. Robert washed the dog on the 7th of April. The only person that washed the dog in a cold month is,2019-04-07,cold,0,Robert
Fred,2019-08-04,Brandon,2019-01-28,Andrew,2019-11-19,"['Fred', 'Brandon', 'Andrew']",Fred cleaned the basement on the 4th of August. Brandon cleaned the basement on the 28th of January. Andrew cleaned the basement on the 19th of November. The only person that cleaned the basement in a warm month is,2019-08-04,warm,1,Fred
Rose,2019-07-23,Frank,2019-01-26,Matt,2019-11-07,"['Rose', 'Frank', 'Matt']",Rose attended a wedding on the 23rd of July. Frank attended a wedding on the 26th of January. Matt attended a wedding on the 7th of November. The only person that attended a wedding in a warm month is,2019-07-23,warm,1,Rose
Neil,2019-11-10,Joy,2019-03-15,George,2019-09-24,"['Neil', 'Joy', 'George']",Neil went to a festival on the 10th of November. Joy went to a festival on the 15th of March. George went to a festival on the 24th of September. The only person that went to a festival in a warm month is,2019-09-24,warm,1,George
Andrew,2019-03-31,Grant,2019-05-18,Richard,2019-04-05,"['Andrew', 'Grant', 'Richard']",Andrew got a manicure on the 31st of March. Grant got a manicure on the 18th of May. Richard got a manicure on the 5th of April. The only person that got a manicure in a warm month is,2019-05-18,warm,1,Grant
Leon,2019-11-08,Grant,2019-02-03,Tyler,2019-10-11,"['Leon', 'Grant', 'Tyler']",Leon took a plane on the 8th of November. Grant took a plane on the 3rd of February. Tyler took a plane on the 11th of October. The only person that took a plane in a warm month is,2019-10-11,warm,1,Tyler
Jack,2019-01-31,Fred,2019-04-06,Aaron,2019-07-29,"['Jack', 'Fred', 'Aaron']",Jack went to a French restaurant on the 31st of January. Fred went to a French restaurant on the 6th of April. Aaron went to a French restaurant on the 29th of July. The only person that went to a French restaurant in a warm month is,2019-07-29,warm,1,Aaron
Leon,2019-11-17,Ryan,2019-06-25,Martin,2019-08-12,"['Leon', 'Ryan', 'Martin']",Leon painted a portrait on the 17th of November. Ryan painted a portrait on the 25th of June. Martin painted a portrait on the 12th of August. The only person that painted a portrait in a cold month is,2019-11-17,cold,0,Leon
Brandon,2019-08-18,Rachel,2019-08-01,Andrew,2019-04-23,"['Brandon', 'Rachel', 'Andrew']",Brandon went to a Chinese restaurant on the 18th of August. Rachel went to a Chinese restaurant on the 1st of August. Andrew went to a Chinese restaurant on the 23rd of April. The only person that went to a Chinese restaurant in a cold month is,2019-04-23,cold,0,Andrew
Brandon,2019-08-11,Aaron,2019-03-10,Henry,2019-08-16,"['Brandon', 'Aaron', 'Henry']",Brandon ironed the clothes on the 11th of August. Aaron ironed the clothes on the 10th of March. Henry ironed the clothes on the 16th of August. The only person that ironed the clothes in a cold month is,2019-03-10,cold,0,Aaron
Matt,2019-12-18,Neil,2019-03-13,Dallas,2019-06-09,"['Matt', 'Neil', 'Dallas']",Matt reorganized the closet on the 18th of December. Neil reorganized the closet on the 13th of March. Dallas reorganized the closet on the 9th of June. The only person that reorganized the closet in a warm month is,2019-06-09,warm,1,Dallas
Charlie,2019-08-15,Robert,2019-02-20,Grant,2019-05-31,"['Charlie', 'Robert', 'Grant']",Charlie compiled the spreadsheet on the 15th of August. Robert compiled the spreadsheet on the 20th of February. Grant compiled the spreadsheet on the 31st of May. The only person that compiled the spreadsheet in a cold month is,2019-02-20,cold,0,Robert
Hunter,2019-12-12,Jason,2019-04-09,Frank,2019-08-16,"['Hunter', 'Jason', 'Frank']",Hunter moved to a new city on the 12th of December. Jason moved to a new city on the 9th of April. Frank moved to a new city on the 16th of August. The only person that moved to a new city in a warm month is,2019-08-16,warm,1,Frank
Walker,2019-03-20,Blake,2019-07-22,Peter,2019-12-14,"['Walker', 'Blake', 'Peter']",Walker won the lottery on the 20th of March. Blake won the lottery on the 22nd of July. Peter won the lottery on the 14th of December. The only person that won the lottery in a warm month is,2019-07-22,warm,1,Blake
Peter,2019-01-19,April,2019-06-10,Brandon,2019-03-15,"['Peter', 'April', 'Brandon']",Peter renovated the kitchen on the 19th of January. April renovated the kitchen on the 10th of June. Brandon renovated the kitchen on the 15th of March. The only person that renovated the kitchen in a warm month is,2019-06-10,warm,1,April
Andrew,2019-01-25,Rachel,2019-07-04,Jason,2019-06-03,"['Andrew', 'Rachel', 'Jason']",Andrew went hiking on the 25th of January. Rachel went hiking on the 4th of July. Jason went hiking on the 3rd of June. The only person that went hiking in a cold month is,2019-01-25,cold,0,Andrew
Scott,2019-06-08,Neil,2019-03-30,Richard,2019-04-12,"['Scott', 'Neil', 'Richard']",Scott went to a Chinese restaurant on the 8th of June. Neil went to a Chinese restaurant on the 30th of March. Richard went to a Chinese restaurant on the 12th of April. The only person that went to a Chinese restaurant in a warm month is,2019-06-08,warm,1,Scott
Robert,2019-06-09,Maria,2019-05-23,Bob,2019-11-07,"['Robert', 'Maria', 'Bob']",Robert mowed the lawn on the 9th of June. Maria mowed the lawn on the 23rd of May. Bob mowed the lawn on the 7th of November. The only person that mowed the lawn in a cold month is,2019-11-07,cold,0,Bob
Rachel,2019-01-11,Emily,2019-09-17,Peter,2019-12-27,"['Rachel', 'Emily', 'Peter']",Rachel sold their car on the 11th of January. Emily sold their car on the 17th of September. Peter sold their car on the 27th of December. The only person that sold their car in a warm month is,2019-09-17,warm,1,Emily
Frank,2019-12-06,Richard,2019-06-25,Matt,2019-03-14,"['Frank', 'Richard', 'Matt']",Frank attended a funeral on the 6th of December. Richard attended a funeral on the 25th of June. Matt attended a funeral on the 14th of March. The only person that attended a funeral in a warm month is,2019-06-25,warm,1,Richard
Emily,2019-07-13,Brandon,2019-02-02,Steve,2019-11-08,"['Emily', 'Brandon', 'Steve']",Emily went to a Mexican restaurant on the 13th of July. Brandon went to a Mexican restaurant on the 2nd of February. Steve went to a Mexican restaurant on the 8th of November. The only person that went to a Mexican restaurant in a warm month is,2019-07-13,warm,1,Emily
Tyler,2019-07-05,John,2019-12-17,Leon,2019-12-14,"['Tyler', 'John', 'Leon']",Tyler ran a marathon on the 5th of July. John ran a marathon on the 17th of December. Leon ran a marathon on the 14th of December. The only person that ran a marathon in a warm month is,2019-07-05,warm,1,Tyler
Leon,2019-02-22,Peter,2019-04-19,Charlie,2019-08-29,"['Leon', 'Peter', 'Charlie']",Leon watched a documentary on the 22nd of February. Peter watched a documentary on the 19th of April. Charlie watched a documentary on the 29th of August. The only person that watched a documentary in a warm month is,2019-08-29,warm,1,Charlie
Alex,2019-01-06,Fred,2019-04-06,Maria,2019-06-27,"['Alex', 'Fred', 'Maria']",Alex ironed the clothes on the 6th of January. Fred ironed the clothes on the 6th of April. Maria ironed the clothes on the 27th of June. The only person that ironed the clothes in a warm month is,2019-06-27,warm,1,Maria
Alice,2019-08-12,Frank,2019-09-24,Bob,2019-04-01,"['Alice', 'Frank', 'Bob']",Alice won the lottery on the 12th of August. Frank won the lottery on the 24th of September. Bob won the lottery on the 1st of April. The only person that won the lottery in a cold month is,2019-04-01,cold,0,Bob
Matt,2019-08-15,Richard,2019-01-08,Steve,2019-02-14,"['Matt', 'Richard', 'Steve']",Matt went to an Indian restaurant on the 15th of August. Richard went to an Indian restaurant on the 8th of January. Steve went to an Indian restaurant on the 14th of February. The only person that went to an Indian restaurant in a warm month is,2019-08-15,warm,1,Matt
Grant,2019-02-17,Maria,2019-01-03,Richard,2019-10-02,"['Grant', 'Maria', 'Richard']",Grant sent a package on the 17th of February. Maria sent a package on the 3rd of January. Richard sent a package on the 2nd of October. The only person that sent a package in a warm month is,2019-10-02,warm,1,Richard
Martin,2019-04-21,Alex,2019-08-11,Frank,2019-07-29,"['Martin', 'Alex', 'Frank']",Martin washed the car on the 21st of April. Alex washed the car on the 11th of August. Frank washed the car on the 29th of July. The only person that washed the car in a cold month is,2019-04-21,cold,0,Martin
Charlie,2019-03-13,Marco,2019-11-14,Kyle,2019-07-19,"['Charlie', 'Marco', 'Kyle']",Charlie cleaned the attic on the 13th of March. Marco cleaned the attic on the 14th of November. Kyle cleaned the attic on the 19th of July. The only person that cleaned the attic in a warm month is,2019-07-19,warm,1,Kyle
Fred,2019-02-26,Joy,2019-03-12,Michael,2019-05-18,"['Fred', 'Joy', 'Michael']",Fred painted a mural on the 26th of February. Joy painted a mural on the 12th of March. Michael painted a mural on the 18th of May. The only person that painted a mural in a warm month is,2019-05-18,warm,1,Michael
Alex,2019-07-08,John,2019-11-29,Frank,2019-03-05,"['Alex', 'John', 'Frank']",Alex arrived in Canada on the 8th of July. John arrived in Canada on the 29th of November. Frank arrived in Canada on the 5th of March. The only person that arrived in Canada in a warm month is,2019-07-08,warm,1,Alex
Martin,2019-08-24,Steve,2019-07-29,Alex,2019-03-08,"['Martin', 'Steve', 'Alex']",Martin won the lottery on the 24th of August. Steve won the lottery on the 29th of July. Alex won the lottery on the 8th of March. The only person that won the lottery in a cold month is,2019-03-08,cold,0,Alex
William,2019-11-19,Bob,2019-04-04,Brandon,2019-09-08,"['William', 'Bob', 'Brandon']",William mowed the lawn on the 19th of November. Bob mowed the lawn on the 4th of April. Brandon mowed the lawn on the 8th of September. The only person that mowed the lawn in a warm month is,2019-09-08,warm,1,Brandon
Alex,2019-11-09,Walker,2019-06-25,Jason,2019-06-03,"['Alex', 'Walker', 'Jason']",Alex compiled the spreadsheet on the 9th of November. Walker compiled the spreadsheet on the 25th of June. Jason compiled the spreadsheet on the 3rd of June. The only person that compiled the spreadsheet in a cold month is,2019-11-09,cold,0,Alex
Peter,2019-12-27,William,2019-06-25,Dallas,2019-01-28,"['Peter', 'William', 'Dallas']",Peter got a birthday gift on the 27th of December. William got a birthday gift on the 25th of June. Dallas got a birthday gift on the 28th of January. The only person that got a birthday gift in a warm month is,2019-06-25,warm,1,William
Ryan,2019-06-25,Hope,2019-03-28,Maria,2019-08-02,"['Ryan', 'Hope', 'Maria']",Ryan went to a festival on the 25th of June. Hope went to a festival on the 28th of March. Maria went to a festival on the 2nd of August. The only person that went to a festival in a cold month is,2019-03-28,cold,0,Hope
Dallas,2019-10-16,Alice,2019-10-01,Richard,2019-04-05,"['Dallas', 'Alice', 'Richard']",Dallas arrived in France on the 16th of October. Alice arrived in France on the 1st of October. Richard arrived in France on the 5th of April. The only person that arrived in France in a cold month is,2019-04-05,cold,0,Richard
Leon,2019-11-17,Luke,2019-10-03,Peter,2019-09-22,"['Leon', 'Luke', 'Peter']",Leon went to a Mexican restaurant on the 17th of November. Luke went to a Mexican restaurant on the 3rd of October. Peter went to a Mexican restaurant on the 22nd of September. The only person that went to a Mexican restaurant in a cold month is,2019-11-17,cold,0,Leon
Leon,2019-03-12,Connor,2019-10-17,Alex,2019-07-08,"['Leon', 'Connor', 'Alex']",Leon went to the museum on the 12th of March. Connor went to the museum on the 17th of October. Alex went to the museum on the 8th of July. The only person that went to the museum in a cold month is,2019-03-12,cold,0,Leon
Josh,2019-10-08,Steve,2019-11-26,Andrew,2019-11-16,"['Josh', 'Steve', 'Andrew']",Josh arrived in the US on the 8th of October. Steve arrived in the US on the 26th of November. Andrew arrived in the US on the 16th of November. The only person that arrived in the US in a warm month is,2019-10-08,warm,1,Josh
Robert,2019-03-13,Martin,2019-10-04,Grant,2019-05-16,"['Robert', 'Martin', 'Grant']",Robert received a promotion on the 13th of March. Martin received a promotion on the 4th of October. Grant received a promotion on the 16th of May. The only person that received a promotion in a cold month is,2019-03-13,cold,0,Robert
Leon,2019-08-22,Luke,2019-10-11,Marco,2019-03-24,"['Leon', 'Luke', 'Marco']",Leon attended a funeral on the 22nd of August. Luke attended a funeral on the 11th of October. Marco attended a funeral on the 24th of March. The only person that attended a funeral in a cold month is,2019-03-24,cold,0,Marco
Marco,2019-06-08,Matt,2019-12-18,George,2019-08-15,"['Marco', 'Matt', 'George']",Marco got a haircut on the 8th of June. Matt got a haircut on the 18th of December. George got a haircut on the 15th of August. The only person that got a haircut in a cold month is,2019-12-18,cold,0,Matt
Alice,2019-08-05,Frank,2019-02-20,Grant,2019-05-12,"['Alice', 'Frank', 'Grant']",Alice washed the car on the 5th of August. Frank washed the car on the 20th of February. Grant washed the car on the 12th of May. The only person that washed the car in a cold month is,2019-02-20,cold,0,Frank
Frank,2019-08-13,Neil,2019-10-21,Jack,2019-03-06,"['Frank', 'Neil', 'Jack']",Frank alphabetized the bookshelf on the 13th of August. Neil alphabetized the bookshelf on the 21st of October. Jack alphabetized the bookshelf on the 6th of March. The only person that alphabetized the bookshelf in a cold month is,2019-03-06,cold,0,Jack
Richard,2019-11-09,Charlie,2019-10-15,Peter,2019-06-25,"['Richard', 'Charlie', 'Peter']",Richard washed the car on the 9th of November. Charlie washed the car on the 15th of October. Peter washed the car on the 25th of June. The only person that washed the car in a cold month is,2019-11-09,cold,0,Richard
Jack,2019-12-05,Brandon,2019-07-21,Grant,2019-08-22,"['Jack', 'Brandon', 'Grant']",Jack cleaned the windows on the 5th of December. Brandon cleaned the windows on the 21st of July. Grant cleaned the windows on the 22nd of August. The only person that cleaned the windows in a cold month is,2019-12-05,cold,0,Jack
Hunter,2019-08-09,Martin,2019-09-23,Ryan,2019-03-05,"['Hunter', 'Martin', 'Ryan']",Hunter went to a French restaurant on the 9th of August. Martin went to a French restaurant on the 23rd of September. Ryan went to a French restaurant on the 5th of March. The only person that went to a French restaurant in a cold month is,2019-03-05,cold,0,Ryan
Josh,2019-12-11,Andrew,2019-01-25,Scott,2019-07-20,"['Josh', 'Andrew', 'Scott']",Josh visited a new country on the 11th of December. Andrew visited a new country on the 25th of January. Scott visited a new country on the 20th of July. The only person that visited a new country in a warm month is,2019-07-20,warm,1,Scott
Charlie,2019-12-02,Alex,2019-09-20,Max,2019-12-10,"['Charlie', 'Alex', 'Max']",Charlie visited a new city on the 2nd of December. Alex visited a new city on the 20th of September. Max visited a new city on the 10th of December. The only person that visited a new city in a warm month is,2019-09-20,warm,1,Alex
Ryan,2019-04-22,Tyler,2019-06-12,Marco,2019-04-11,"['Ryan', 'Tyler', 'Marco']",Ryan renovated the bathroom on the 22nd of April. Tyler renovated the bathroom on the 12th of June. Marco renovated the bathroom on the 11th of April. The only person that renovated the bathroom in a warm month is,2019-06-12,warm,1,Tyler
Michael,2019-11-22,Alex,2019-05-23,Aaron,2019-03-10,"['Michael', 'Alex', 'Aaron']",Michael arrived in Italy on the 22nd of November. Alex arrived in Italy on the 23rd of May. Aaron arrived in Italy on the 10th of March. The only person that arrived in Italy in a warm month is,2019-05-23,warm,1,Alex
Rose,2019-07-23,Peter,2019-01-06,Kyle,2019-09-16,"['Rose', 'Peter', 'Kyle']",Rose moved to a new city on the 23rd of July. Peter moved to a new city on the 6th of January. Kyle moved to a new city on the 16th of September. The only person that moved to a new city in a cold month is,2019-01-06,cold,0,Peter
Peter,2019-11-29,Charlie,2019-07-30,Kyle,2019-02-09,"['Peter', 'Charlie', 'Kyle']",Peter arrived in Italy on the 29th of November. Charlie arrived in Italy on the 30th of July. Kyle arrived in Italy on the 9th of February. The only person that arrived in Italy in a warm month is,2019-07-30,warm,1,Charlie
Marco,2019-04-11,Max,2019-03-17,Emily,2019-10-01,"['Marco', 'Max', 'Emily']",Marco went to the museum on the 11th of April. Max went to the museum on the 17th of March. Emily went to the museum on the 1st of October. The only person that went to the museum in a warm month is,2019-10-01,warm,1,Emily
Luke,2019-01-05,Grant,2019-08-22,Alex,2019-05-31,"['Luke', 'Grant', 'Alex']",Luke visited a new country on the 5th of January. Grant visited a new country on the 22nd of August. Alex visited a new country on the 31st of May. The only person that visited a new country in a cold month is,2019-01-05,cold,0,Luke
Laura,2019-09-27,Walker,2019-07-08,Hope,2019-12-29,"['Laura', 'Walker', 'Hope']",Laura bought a new phone on the 27th of September. Walker bought a new phone on the 8th of July. Hope bought a new phone on the 29th of December. The only person that bought a new phone in a cold month is,2019-12-29,cold,0,Hope
Connor,2019-06-21,Max,2019-01-06,Alice,2019-11-20,"['Connor', 'Max', 'Alice']",Connor arrived in France on the 21st of June. Max arrived in France on the 6th of January. Alice arrived in France on the 20th of November. The only person that arrived in France in a warm month is,2019-06-21,warm,1,Connor
Jack,2019-07-25,Grant,2019-12-14,Hope,2019-08-14,"['Jack', 'Grant', 'Hope']",Jack attended a funeral on the 25th of July. Grant attended a funeral on the 14th of December. Hope attended a funeral on the 14th of August. The only person that attended a funeral in a cold month is,2019-12-14,cold,0,Grant
Kyle,2019-05-14,Jason,2019-11-29,Tyler,2019-01-10,"['Kyle', 'Jason', 'Tyler']",Kyle went to the zoo on the 14th of May. Jason went to the zoo on the 29th of November. Tyler went to the zoo on the 10th of January. The only person that went to the zoo in a warm month is,2019-05-14,warm,1,Kyle
Brandon,2019-03-15,Bob,2019-04-14,Richard,2019-10-22,"['Brandon', 'Bob', 'Richard']",Brandon mowed the lawn on the 15th of March. Bob mowed the lawn on the 14th of April. Richard mowed the lawn on the 22nd of October. The only person that mowed the lawn in a warm month is,2019-10-22,warm,1,Richard
William,2019-04-27,Maria,2019-10-30,Matt,2019-03-29,"['William', 'Maria', 'Matt']",William took a boat on the 27th of April. Maria took a boat on the 30th of October. Matt took a boat on the 29th of March. The only person that took a boat in a warm month is,2019-10-30,warm,1,Maria
Rose,2019-07-23,Alex,2019-04-21,Blake,2019-06-27,"['Rose', 'Alex', 'Blake']",Rose donated blood on the 23rd of July. Alex donated blood on the 21st of April. Blake donated blood on the 27th of June. The only person that donated blood in a cold month is,2019-04-21,cold,0,Alex
